Season,Home_Team,Away_Team,Home_Goals,Away_Goals,Outcome
2024-25,Abia Warriors,Akwa United,2,0,Home Win
2024-25,Abia Warriors,Bayelsa United,1,0,Home Win
2024-25,Abia Warriors,Bendel Insurance,1,0,Home Win
2024-25,Abia Warriors,El-Kanemi Warriors,2,1,Home Win
2024-25,Abia Warriors,Enugu Rangers,1,0,Home Win
2024-25,Abia Warriors,Enyimba,1,1,Draw
2024-25,Abia Warriors,Heartland,0,2,Away Win
2024-25,Abia Warriors,Ikorodu City,2,0,Home Win
2024-25,Abia Warriors,Kano Pillars,2,0,Home Win
2024-25,Abia Warriors,Katsina United,2,0,Home Win
2024-25,Abia Warriors,Kwara United,1,0,Home Win
2024-25,Abia Warriors,Lobi Stars,2,0,Home Win
2024-25,Abia Warriors,Nasarawa United,1,1,Draw
2024-25,Abia Warriors,Niger Tornadoes,2,1,Home Win
2024-25,Abia Warriors,Plateau United,3,1,Home Win
2024-25,Abia Warriors,Remo Stars,0,2,Away Win
2024-25,Abia Warriors,Rivers United,2,0,Home Win
2024-25,Abia Warriors,Shooting Stars,3,1,Home Win
2024-25,Abia Warriors,Sunshine Stars,3,0,Home Win
2024-25,Akwa United,Abia Warriors,1,1,Draw
2024-25,Akwa United,Bayelsa United,2,0,Home Win
2024-25,Akwa United,Bendel Insurance,1,1,Draw
2024-25,Akwa United,El-Kanemi Warriors,1,1,Draw
2024-25,Akwa United,Enugu Rangers,0,0,Draw
2024-25,Akwa United,Enyimba,2,1,Home Win
2024-25,Akwa United,Heartland,2,0,Home Win
2024-25,Akwa United,Ikorodu City,2,1,Home Win
2024-25,Akwa United,Kano Pillars,2,0,Home Win
2024-25,Akwa United,Katsina United,1,0,Home Win
2024-25,Akwa United,Kwara United,2,1,Home Win
2024-25,Akwa United,Lobi Stars,1,1,Draw
2024-25,Akwa United,Nasarawa United,1,0,Home Win
2024-25,Akwa United,Niger Tornadoes,2,0,Home Win
2024-25,Akwa United,Plateau United,1,0,Home Win
2024-25,Akwa United,Remo Stars,1,2,Away Win
2024-25,Akwa United,Rivers United,1,1,Draw
2024-25,Akwa United,Shooting Stars,2,0,Home Win
2024-25,Akwa United,Sunshine Stars,1,2,Away Win
2024-25,Bayelsa United,Abia Warriors,0,1,Away Win
2024-25,Bayelsa United,Akwa United,2,1,Home Win
2024-25,Bayelsa United,Bendel Insurance,2,1,Home Win
2024-25,Bayelsa United,El-Kanemi Warriors,2,1,Home Win
2024-25,Bayelsa United,Enugu Rangers,0,0,Draw
2024-25,Bayelsa United,Enyimba,1,1,Draw
2024-25,Bayelsa United,Heartland,1,0,Home Win
2024-25,Bayelsa United,Ikorodu City,1,0,Home Win
2024-25,Bayelsa United,Kano Pillars,1,1,Draw
2024-25,Bayelsa United,Katsina United,1,1,Draw
2024-25,Bayelsa United,Kwara United,1,1,Draw
2024-25,Bayelsa United,Lobi Stars,1,0,Home Win
2024-25,Bayelsa United,Nasarawa United,2,2,Draw
2024-25,Bayelsa United,Niger Tornadoes,4,1,Home Win
2024-25,Bayelsa United,Plateau United,1,0,Home Win
2024-25,Bayelsa United,Remo Stars,3,0,Home Win
2024-25,Bayelsa United,Rivers United,1,0,Home Win
2024-25,Bayelsa United,Shooting Stars,3,0,Home Win
2024-25,Bayelsa United,Sunshine Stars,4,1,Home Win
2024-25,Bendel Insurance,Abia Warriors,0,1,Away Win
2024-25,Bendel Insurance,Akwa United,1,0,Home Win
2024-25,Bendel Insurance,Bayelsa United,3,0,Home Win
2024-25,Bendel Insurance,El-Kanemi Warriors,1,1,Draw
2024-25,Bendel Insurance,Enugu Rangers,0,0,Draw
2024-25,Bendel Insurance,Enyimba,1,0,Home Win
2024-25,Bendel Insurance,Heartland,1,0,Home Win
2024-25,Bendel Insurance,Ikorodu City,2,1,Home Win
2024-25,Bendel Insurance,Kano Pillars,0,1,Away Win
2024-25,Bendel Insurance,Katsina United,1,0,Home Win
2024-25,Bendel Insurance,Kwara United,3,1,Home Win
2024-25,Bendel Insurance,Lobi Stars,1,0,Home Win
2024-25,Bendel Insurance,Nasarawa United,1,1,Draw
2024-25,Bendel Insurance,Niger Tornadoes,3,0,Home Win
2024-25,Bendel Insurance,Plateau United,2,1,Home Win
2024-25,Bendel Insurance,Remo Stars,2,1,Home Win
2024-25,Bendel Insurance,Rivers United,0,0,Draw
2024-25,Bendel Insurance,Shooting Stars,1,0,Home Win
2024-25,Bendel Insurance,Sunshine Stars,1,0,Home Win
2024-25,El-Kanemi Warriors,Abia Warriors,3,0,Home Win
2024-25,El-Kanemi Warriors,Akwa United,1,0,Home Win
2024-25,El-Kanemi Warriors,Bayelsa United,0,0,Draw
2024-25,El-Kanemi Warriors,Bendel Insurance,0,0,Draw
2024-25,El-Kanemi Warriors,Enugu Rangers,2,1,Home Win
2024-25,El-Kanemi Warriors,Enyimba,1,0,Home Win
2024-25,El-Kanemi Warriors,Heartland,0,0,Draw
2024-25,El-Kanemi Warriors,Ikorodu City,1,1,Draw
2024-25,El-Kanemi Warriors,Kano Pillars,1,0,Home Win
2024-25,El-Kanemi Warriors,Katsina United,1,0,Home Win
2024-25,El-Kanemi Warriors,Kwara United,1,1,Draw
2024-25,El-Kanemi Warriors,Lobi Stars,1,0,Home Win
2024-25,El-Kanemi Warriors,Nasarawa United,1,0,Home Win
2024-25,El-Kanemi Warriors,Niger Tornadoes,1,0,Home Win
2024-25,El-Kanemi Warriors,Plateau United,2,2,Draw
2024-25,El-Kanemi Warriors,Remo Stars,2,0,Home Win
2024-25,El-Kanemi Warriors,Rivers United,1,2,Away Win
2024-25,El-Kanemi Warriors,Shooting Stars,2,2,Draw
2024-25,El-Kanemi Warriors,Sunshine Stars,1,0,Home Win
2024-25,Enugu Rangers,Abia Warriors,1,0,Home Win
2024-25,Enugu Rangers,Akwa United,1,1,Draw
2024-25,Enugu Rangers,Bayelsa United,1,0,Home Win
2024-25,Enugu Rangers,Bendel Insurance,3,2,Home Win
2024-25,Enugu Rangers,El-Kanemi Warriors,0,0,Draw
2024-25,Enugu Rangers,Enyimba,1,2,Away Win
2024-25,Enugu Rangers,Heartland,0,2,Away Win
2024-25,Enugu Rangers,Ikorodu City,2,0,Home Win
2024-25,Enugu Rangers,Kano Pillars,3,4,Away Win
2024-25,Enugu Rangers,Katsina United,4,0,Home Win
2024-25,Enugu Rangers,Kwara United,3,0,Home Win
2024-25,Enugu Rangers,Lobi Stars,3,0,Home Win
2024-25,Enugu Rangers,Nasarawa United,2,0,Home Win
2024-25,Enugu Rangers,Niger Tornadoes,1,2,Away Win
2024-25,Enugu Rangers,Plateau United,0,1,Away Win
2024-25,Enugu Rangers,Remo Stars,2,1,Home Win
2024-25,Enugu Rangers,Rivers United,1,0,Home Win
2024-25,Enugu Rangers,Shooting Stars,0,1,Away Win
2024-25,Enugu Rangers,Sunshine Stars,3,0,Home Win
2024-25,Enyimba,Abia Warriors,2,1,Home Win
2024-25,Enyimba,Akwa United,1,0,Home Win
2024-25,Enyimba,Bayelsa United,1,1,Draw
2024-25,Enyimba,Bendel Insurance,0,0,Draw
2024-25,Enyimba,El-Kanemi Warriors,1,0,Home Win
2024-25,Enyimba,Enugu Rangers,0,0,Draw
2024-25,Enyimba,Heartland,1,1,Draw
2024-25,Enyimba,Ikorodu City,2,1,Home Win
2024-25,Enyimba,Kano Pillars,2,1,Home Win
2024-25,Enyimba,Katsina United,3,0,Home Win
2024-25,Enyimba,Kwara United,2,0,Home Win
2024-25,Enyimba,Lobi Stars,2,1,Home Win
2024-25,Enyimba,Nasarawa United,2,1,Home Win
2024-25,Enyimba,Niger Tornadoes,1,1,Draw
2024-25,Enyimba,Plateau United,0,1,Away Win
2024-25,Enyimba,Remo Stars,0,0,Draw
2024-25,Enyimba,Rivers United,1,0,Home Win
2024-25,Enyimba,Shooting Stars,1,1,Draw
2024-25,Enyimba,Sunshine Stars,0,0,Draw
2024-25,Heartland,Abia Warriors,0,1,Away Win
2024-25,Heartland,Akwa United,2,1,Home Win
2024-25,Heartland,Bayelsa United,1,1,Draw
2024-25,Heartland,Bendel Insurance,1,1,Draw
2024-25,Heartland,El-Kanemi Warriors,0,0,Draw
2024-25,Heartland,Enugu Rangers,0,0,Draw
2024-25,Heartland,Enyimba,1,3,Away Win
2024-25,Heartland,Ikorodu City,1,1,Draw
2024-25,Heartland,Kano Pillars,2,0,Home Win
2024-25,Heartland,Katsina United,0,0,Draw
2024-25,Heartland,Kwara United,0,0,Draw
2024-25,Heartland,Lobi Stars,1,0,Home Win
2024-25,Heartland,Nasarawa United,3,2,Home Win
2024-25,Heartland,Niger Tornadoes,2,0,Home Win
