Season,Home_Team,Away_Team,Home_Goals,Away_Goals,Outcome,Home_Attack,Home_Defense,Away_Defense,Away_Attack,Home_Exp_Goals,Away_Exp_Goals,Power_Diff
2024-25,Abia Warriors,Akwa United,2,0,Home Win,1.51,0.49,1.35,0.56,1.43,0.53,0.9
2024-25,Abia Warriors,Bayelsa United,1,0,Home Win,1.51,0.49,1.37,0.61,1.44,0.55,0.89
2024-25,Abia Warriors,Bendel Insurance,1,0,Home Win,1.51,0.49,1.11,0.61,1.31,0.55,0.76
2024-25,Abia Warriors,El-Kanemi Warriors,2,1,Home Win,1.51,0.49,1.75,0.47,1.63,0.48,1.15
2024-25,Abia Warriors,Enugu Rangers,1,0,Home Win,1.51,0.49,1.12,0.68,1.31,0.58,0.73
2024-25,Abia Warriors,Enyimba,1,1,Draw,1.51,0.49,1.19,0.66,1.35,0.58,0.77
2024-25,Abia Warriors,Heartland,0,2,Away Win,1.51,0.49,1.6,0.51,1.55,0.5,1.05
2024-25,Abia Warriors,Ikorodu City,2,0,Home Win,1.51,0.49,1.35,0.73,1.43,0.61,0.81
2024-25,Abia Warriors,Kano Pillars,2,0,Home Win,1.51,0.49,1.73,0.67,1.62,0.58,1.04
2024-25,Abia Warriors,Katsina United,2,0,Home Win,1.51,0.49,1.46,0.28,1.48,0.39,1.1
2024-25,Abia Warriors,Kwara United,1,0,Home Win,1.51,0.49,1.59,0.59,1.55,0.54,1.01
2024-25,Abia Warriors,Lobi Stars,2,0,Home Win,1.51,0.49,1.64,0.58,1.57,0.53,1.04
2024-25,Abia Warriors,Nasarawa United,1,1,Draw,1.51,0.49,1.55,0.67,1.53,0.58,0.94
2024-25,Abia Warriors,Niger Tornadoes,2,1,Home Win,1.51,0.49,1.49,0.63,1.5,0.56,0.94
2024-25,Abia Warriors,Plateau United,3,1,Home Win,1.51,0.49,1.55,0.81,1.53,0.65,0.88
2024-25,Abia Warriors,Remo Stars,0,2,Away Win,1.51,0.49,1.38,0.75,1.45,0.62,0.82
